City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,2021-08-14 17:38:41,5.4112,100.3354,82.33,90,20,2.3,few clouds
1,Rikitea,PF,2021-08-14 17:38:57,-23.1203,-134.9692,74.41,81,68,17.31,broken clouds
2,Atuona,PF,2021-08-14 17:38:57,-9.8,-139.0333,77.88,81,27,17.56,scattered clouds
3,Neiafu,TO,2021-08-14 17:38:58,-18.65,-173.9833,68.68,73,20,2.3,few clouds
4,Hermanus,ZA,2021-08-14 17:34:10,-34.4187,19.2345,51.8,79,0,13.24,clear sky
5,Lebu,CL,2021-08-14 17:34:10,-37.6167,-73.65,52.23,71,98,6.64,overcast clouds
6,Avarua,CK,2021-08-14 17:34:11,-21.2078,-159.775,69.85,78,40,6.91,light rain
7,Soyo,AO,2021-08-14 17:34:11,-6.1349,12.3689,77.05,87,40,10.42,scattered clouds
8,Kruisfontein,ZA,2021-08-14 17:34:12,-34.0033,24.7314,56.88,83,78,5.12,broken clouds
9,Labuhan,ID,2021-08-14 17:34:12,-6.8844,112.2051,77.47,82,51,6.85,broken clouds
10,Busselton,AU,2021-08-14 17:38:59,-33.65,115.3333,44.1,87,0,7.4,clear sky
11,Dikson,RU,2021-08-14 17:39:00,73.5069,80.5464,46.92,99,100,5.95,overcast clouds
12,Saint-Alexandre,FR,2021-08-14 17:39:00,44.2278,4.6214,92.39,40,0,11.88,clear sky
13,Xiamen,CN,2021-08-14 17:39:01,24.4798,118.0819,80.65,89,20,6.71,few clouds
14,Bluff,NZ,2021-08-14 17:39:01,-46.6,168.3333,44.8,81,97,23.64,overcast clouds
15,Tuktoyaktuk,CA,2021-08-14 17:39:02,69.4541,-133.0374,46.4,87,90,10.36,overcast clouds
16,Kodiak,US,2021-08-14 17:39:03,57.79,-152.4072,54.91,54,40,10.36,scattered clouds
17,Nanzhang,CN,2021-08-14 17:39:03,31.7765,111.8386,70.7,92,45,2.46,light rain
18,Butaritari,KI,2021-08-14 17:39:04,3.0707,172.7902,81.7,77,71,9.53,moderate rain
19,Saint-Francois,FR,2021-08-14 17:39:04,46.4154,3.9054,89.04,55,0,4.61,clear sky
20,Olafsvik,IS,2021-08-14 17:39:04,64.8945,-23.7142,54.64,79,49,12.41,scattered clouds
21,Gornopravdinsk,RU,2021-08-14 17:39:05,60.05,69.9,62.1,73,1,7.09,clear sky
22,Hurghada,EG,2021-08-14 17:39:05,27.2574,33.8129,95.04,23,0,13.8,clear sky
23,Kitob,UZ,2021-08-14 17:39:05,39.0843,66.8332,75.78,24,0,7.83,clear sky
24,Adrar,MR,2021-08-14 17:39:06,20.5022,-10.0711,104.22,14,10,19.64,clear sky
25,Leningradskiy,RU,2021-08-14 17:39:06,69.3833,178.4167,40.75,89,100,21.65,light rain
26,Ahipara,NZ,2021-08-14 17:39:06,-35.1667,173.1667,51.71,76,28,9.71,scattered clouds
27,Punta Arenas,CL,2021-08-14 17:39:07,-53.15,-70.9167,39.31,87,90,9.22,overcast clouds
28,Faanui,PF,2021-08-14 17:39:07,-16.4833,-151.75,78.31,73,4,5.37,clear sky
29,Albany,US,2021-08-14 17:36:01,42.6001,-73.9662,82.35,46,81,10.78,broken clouds
30,Dondo,MZ,2021-08-14 17:39:08,-19.6094,34.7431,71.11,79,100,11.7,overcast clouds
31,Vila,PT,2021-08-14 17:39:08,42.0304,-8.1588,79.7,46,79,5.17,broken clouds
32,La Paz,BO,2021-08-14 17:34:50,-16.5,-68.15,62.58,15,20,9.22,few clouds
33,Hasaki,JP,2021-08-14 17:39:09,35.7333,140.8333,68.4,94,100,2.93,moderate rain
34,Hobart,AU,2021-08-14 17:37:14,-42.8794,147.3294,55.26,62,90,5.01,overcast clouds
35,Umm Kaddadah,SD,2021-08-14 17:39:09,13.6017,26.6876,77.0,67,100,8.97,overcast clouds
36,Berlevag,NO,2021-08-14 17:39:10,70.8578,29.0864,49.96,84,54,9.44,broken clouds
37,Lakki Marwat,PK,2021-08-14 17:39:10,32.6079,70.9114,96.71,32,0,10.02,clear sky
38,Souillac,MU,2021-08-14 17:39:11,-20.5167,57.5167,71.98,83,75,14.97,light rain
39,Airai,TL,2021-08-14 17:39:11,-8.9266,125.4092,54.75,76,5,3.51,clear sky
40,Puerto Ayora,EC,2021-08-14 17:34:20,-0.7393,-90.3518,76.96,74,95,9.78,overcast clouds
41,Hokitika,NZ,2021-08-14 17:39:12,-42.7167,170.9667,45.09,82,100,2.51,overcast clouds
42,Bemidji,US,2021-08-14 17:38:20,47.4736,-94.8803,87.06,26,1,14.97,clear sky
43,Provideniya,RU,2021-08-14 17:39:12,64.3833,-173.3,49.1,96,100,5.61,overcast clouds
44,Nikolskoye,RU,2021-08-14 17:39:13,59.7035,30.7861,67.89,93,95,8.75,overcast clouds
45,Bredasdorp,ZA,2021-08-14 17:39:13,-34.5322,20.0403,52.92,71,0,6.91,clear sky
46,Touros,BR,2021-08-14 17:39:13,-5.1989,-35.4608,88.7,56,36,20.31,scattered clouds
47,Vaini,TO,2021-08-14 17:39:14,-21.2,-175.2,68.65,58,13,14.43,few clouds
48,Pingzhuang,CN,2021-08-14 17:39:14,42.0372,119.2889,64.54,79,100,4.14,overcast clouds
49,Paka,MY,2021-08-14 17:39:14,4.6374,103.4368,76.93,94,100,0.0,overcast clouds
50,Axim,GH,2021-08-14 17:39:15,4.8699,-2.2405,77.18,76,6,9.28,clear sky
51,Gdov,RU,2021-08-14 17:39:16,58.7406,27.8122,64.17,82,79,11.88,broken clouds
