City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Half Moon Bay,US,2021-08-09 21:22:54,37.4636,-122.4286,96.62,63,1,1.99
1,Coquimbo,CL,2021-08-09 21:25:15,-29.9533,-71.3436,58.73,67,20,11.5
2,Albany,US,2021-08-09 21:25:16,42.6001,-73.9662,86.45,60,51,7.47
3,Hermanus,ZA,2021-08-09 21:25:16,-34.4187,19.2345,49.89,71,3,4.14
4,Bairnsdale,AU,2021-08-09 21:25:17,-37.8333,147.6167,42.08,91,3,1.01
5,Pevek,RU,2021-08-09 21:25:17,69.7008,170.3133,38.93,81,100,10.51
6,Atuona,PF,2021-08-09 21:25:17,-9.8,-139.0333,78.04,68,14,19.24
7,Busselton,AU,2021-08-09 21:25:18,-33.65,115.3333,47.08,71,96,25.03
8,Ancud,CL,2021-08-09 21:25:18,-41.8697,-73.8203,49.53,70,10,2.44
9,Ransang,PH,2021-08-09 21:25:19,8.9603,117.5828,78.85,85,100,4.03
10,Coahuayana,MX,2021-08-09 21:25:19,18.7333,-103.6833,87.28,78,100,9.82
11,Port Elizabeth,ZA,2021-08-09 21:25:19,-33.918,25.5701,54.1,82,90,16.11
12,Butaritari,KI,2021-08-09 21:25:20,3.0707,172.7902,82.92,66,16,13.94
13,Rikitea,PF,2021-08-09 21:21:05,-23.1203,-134.9692,72.55,83,61,8.19
14,Sao Filipe,CV,2021-08-09 21:25:20,14.8961,-24.4956,78.55,86,52,8.57
15,Jaisalmer,IN,2021-08-09 21:25:20,26.9147,70.9181,83.01,61,1,21.72
16,Da Nang,VN,2021-08-09 21:25:21,16.0678,108.2208,86.05,83,20,1.14
17,Koungou,YT,2021-08-09 21:25:21,-12.7336,45.2042,74.91,83,0,5.75
18,Marawi,PH,2021-08-09 21:21:36,7.9986,124.2928,65.64,88,100,2.3
19,Hilo,US,2021-08-09 21:21:26,19.7297,-155.09,83.25,68,1,8.05
20,Rancho Palos Verdes,US,2021-08-09 21:25:22,33.7445,-118.387,96.93,76,20,5.99
21,Hazorasp,UZ,2021-08-09 21:25:22,41.3194,61.0742,69.64,20,0,9.82
22,Aklavik,CA,2021-08-09 21:25:23,68.2191,-135.0107,47.12,80,100,17.47
23,Margate,GB,2021-08-09 21:25:23,51.3813,1.3862,60.66,84,100,1.99
24,Cidreira,BR,2021-08-09 21:25:24,-30.1811,-50.2056,63.46,82,100,3.04
25,Jamestown,US,2021-08-09 21:22:01,42.097,-79.2353,89.02,49,1,3.0
26,Port Alfred,ZA,2021-08-09 21:25:24,-33.5906,26.891,56.66,69,96,16.58
27,Mandurah,AU,2021-08-09 21:25:24,-32.55,115.7,56.21,78,99,35.75
28,Bonthe,SL,2021-08-09 21:25:25,7.5264,-12.505,77.68,75,100,8.97
29,Liverpool,GB,2021-08-09 21:22:45,53.4106,-2.9779,61.68,75,20,1.99
30,Hobart,AU,2021-08-09 21:25:05,-42.8794,147.3294,50.11,80,75,3.0
31,Saint-Philippe,RE,2021-08-09 21:25:26,-21.3585,55.7679,67.59,83,88,2.3
32,Ushuaia,AR,2021-08-09 21:25:26,-54.8,-68.3,46.06,49,20,4.61
33,Lebu,CL,2021-08-09 21:22:39,-37.6167,-73.65,50.18,75,0,17.83
34,Srednekolymsk,RU,2021-08-09 21:25:27,67.45,153.6833,65.55,48,89,7.23
35,Onverwacht,SR,2021-08-09 21:25:27,5.5833,-55.1833,89.6,58,40,5.75
36,Maumere,ID,2021-08-09 21:21:25,-8.6199,122.2111,74.8,78,23,3.69
37,Bethel,US,2021-08-09 21:22:38,41.3712,-73.414,79.84,81,90,8.05
38,Gillette,US,2021-08-09 21:24:02,44.2911,-105.5022,76.8,34,1,1.99
39,Tuktoyaktuk,CA,2021-08-09 21:25:28,69.4541,-133.0374,41.0,87,90,14.97
40,Mataura,NZ,2021-08-09 21:21:07,-46.1927,168.8643,44.47,93,87,5.53
41,Faanui,PF,2021-08-09 21:25:28,-16.4833,-151.75,79.79,69,11,16.51
42,New Norfolk,AU,2021-08-09 21:25:29,-42.7826,147.0587,49.75,95,13,4.03
43,Kapaa,US,2021-08-09 21:24:05,22.0752,-159.319,84.52,65,1,3.0
44,Bubaque,GW,2021-08-09 21:25:29,11.2833,-15.8333,79.5,82,100,13.47
45,Chuy,UY,2021-08-09 21:25:29,-33.6971,-53.4616,54.41,94,100,12.12
46,Punta Arenas,CL,2021-08-09 21:25:30,-53.15,-70.9167,46.51,61,40,36.82
47,Bluff,NZ,2021-08-09 21:25:30,-46.6,168.3333,44.8,86,81,18.77
48,Atasu,KZ,2021-08-09 21:25:31,48.6814,71.6433,63.88,73,9,7.58
49,Colares,PT,2021-08-09 21:25:31,38.7992,-9.4469,67.68,75,20,23.02
50,Nioro,GM,2021-08-09 21:25:32,13.35,-15.75,79.21,84,95,6.51
51,Hovd,MN,2021-08-09 21:22:06,48.0056,91.6419,64.24,43,2,1.88
52,Ormara,PK,2021-08-09 21:25:32,25.2088,64.6357,79.11,84,100,9.91
53,Hamilton,US,2021-08-09 21:21:26,39.1834,-84.5333,80.53,86,35,1.01
54,Nome,US,2021-08-09 21:25:33,64.5011,-165.4064,59.07,58,20,5.75
55,Merke,KZ,2021-08-09 21:25:33,42.8728,73.1786,67.91,40,0,4.56
56,Vaitape,PF,2021-08-09 21:25:33,-16.5167,-151.75,79.79,69,12,16.46
57,Miastko,PL,2021-08-09 21:25:34,54.0028,16.9826,59.61,67,79,4.7
58,Viamao,BR,2021-08-09 21:25:34,-30.0811,-51.0233,66.27,89,75,6.91
59,Ostrovnoy,RU,2021-08-09 21:25:35,68.0531,39.5131,55.22,70,27,8.41
60,Sassandra,CI,2021-08-09 21:25:35,4.95,-6.0833,74.44,88,11,5.64
61,Rawson,AR,2021-08-09 21:25:35,-43.3002,-65.1023,54.9,33,0,7.81
62,Qaanaaq,GL,2021-08-09 21:25:36,77.484,-69.3632,40.78,72,95,9.78
63,Governador Valadares,BR,2021-08-09 21:24:40,-18.8511,-41.9494,71.29,58,60,4.92
64,Torbay,CA,2021-08-09 21:21:48,47.6666,-52.7314,62.28,61,20,8.05
65,San Cristobal,VE,2021-08-09 21:25:36,7.7669,-72.225,80.78,72,22,5.46
66,Korla,CN,2021-08-09 21:25:36,41.7597,86.1469,75.96,41,1,8.93
67,Trincomalee,LK,2021-08-09 21:25:37,8.5711,81.2335,80.35,74,100,22.03
68,Karpathos,GR,2021-08-09 21:25:37,35.507,27.2132,78.69,73,0,17.45
69,Grand Gaube,MU,2021-08-09 21:25:37,-20.0064,57.6608,72.37,81,0,4.0
70,Souillac,MU,2021-08-09 21:21:33,-20.5167,57.5167,72.36,94,40,8.05
71,Sombrio,BR,2021-08-09 21:25:38,-29.1139,-49.6167,75.94,75,100,3.62
72,Cape Town,ZA,2021-08-09 21:25:38,-33.9258,18.4232,50.11,76,0,3.44
73,Avera,US,2021-08-09 21:25:39,33.194,-82.5271,95.45,46,100,6.58
74,Nakhon Nayok,TH,2021-08-09 21:25:39,14.1667,101.1,82.99,85,98,3.38
75,Saldanha,ZA,2021-08-09 21:21:44,-33.0117,17.9442,44.65,63,0,14.81
76,Semey,KZ,2021-08-09 21:25:40,50.4111,80.2275,62.73,74,94,12.46
77,Lucapa,AO,2021-08-09 21:25:40,-8.4192,20.7447,70.07,27,0,1.3
78,Thompson,CA,2021-08-09 21:25:20,55.7435,-97.8558,60.96,67,75,0.0
79,Tiksi,RU,2021-08-09 21:21:03,71.6872,128.8694,50.77,72,26,3.8
80,Port Hardy,CA,2021-08-09 21:25:41,50.6996,-127.4199,60.98,77,75,3.44
81,Georgetown,MY,2021-08-09 21:24:21,5.4112,100.3354,76.93,92,40,5.75
82,Taltal,CL,2021-08-09 21:25:41,-25.4,-70.4833,62.24,70,65,5.55
83,Maku,IR,2021-08-09 21:25:42,39.2911,44.4521,75.51,34,0,1.74
84,Kodiak,US,2021-08-09 21:25:42,57.79,-152.4072,54.91,71,90,11.5
85,Khatanga,RU,2021-08-09 21:21:11,71.9667,102.5,55.35,59,71,7.63
86,Alofi,NU,2021-08-09 21:22:29,-19.0595,-169.9187,75.09,94,90,1.14
87,Sergeyevka,KZ,2021-08-09 21:25:42,53.88,67.4158,58.24,92,100,8.93
88,Mahebourg,MU,2021-08-09 21:25:43,-20.4081,57.7,72.25,94,40,8.05
89,Pacific Grove,US,2021-08-09 21:25:00,36.6177,-121.9166,90.57,77,1,5.99
90,Quatre Cocos,MU,2021-08-09 21:25:43,-20.2078,57.7625,72.09,85,0,10.85
91,Hasaki,JP,2021-08-09 21:25:44,35.7333,140.8333,82.8,73,3,33.33
92,Sola,VU,2021-08-09 21:25:44,-13.8833,167.55,79.47,74,90,11.5
93,Castro,BR,2021-08-09 21:21:15,-24.7911,-50.0119,64.26,55,9,3.38
94,Leningradskiy,RU,2021-08-09 21:25:44,69.3833,178.4167,43.41,79,88,7.27
95,Iqaluit,CA,2021-08-09 21:22:15,63.7506,-68.5145,51.53,76,75,5.75
96,Yellowknife,CA,2021-08-09 21:25:45,62.456,-114.3525,54.12,100,90,13.8
97,Kaitangata,NZ,2021-08-09 21:25:45,-46.2817,169.8464,45.23,80,68,11.41
98,Gerash,IR,2021-08-09 21:25:45,27.6652,54.1371,87.94,24,24,3.71
